Loci	Mean_rho	Median	L95	U95
    -1.000	  54.52620	  53.45906	  30.39560	  83.07333
  2749.725	   2.63634	   2.66401	   0.32265	   4.10421
  2750.050	   2.65729	   2.66886	   0.48902	   4.10421
  2753.954	   2.68955	   2.68259	   0.45219	   4.10421
  2754.121	   2.81608	   2.72304	   1.95948	   4.24930
  2754.510	   2.72451	   2.69692	   1.23707	   4.10421
  2754.526	   2.80196	   2.71742	   1.95042	   4.25219
  2755.064	   2.71032	   2.69678	   0.62055	   4.21249
  2755.125	   2.76993	   2.70013	   1.74518	   4.22570
  2756.023	   2.71202	   2.69474	   0.84022	   4.22570
  2756.109	   2.76547	   2.69692	   1.85441	   4.10421
  2758.015	   2.79660	   2.70771	   1.95042	   4.25219
  2758.394	   2.69379	   2.67682	   0.73813	   4.10421
  2758.825	   2.77024	   2.70013	   1.93173	   4.22570
  2759.289	   2.65630	   2.66072	   0.41271	   4.10421
  2759.636	   2.64351	   2.65672	   0.52480	   4.10421
  2759.941	   2.66374	   2.65672	   0.90056	   4.14796
  2760.403	   2.65004	   2.64869	   0.92666	   4.10421
  2764.234	   2.63653	   2.64869	   0.67498	   4.10421
  2764.527	   2.71196	   2.66817	   1.19578	   4.24918
  2766.355	   2.64921	   2.64869	   0.72176	   4.24918
  2769.639	   2.90665	   2.70013	   1.01956	   6.59218
  2769.743	   2.88056	   2.70013	   0.64148	   6.06289
  2769.746	   2.92575	   2.70185	   1.03049	   6.59218
  2769.760	   3.12424	   2.76926	   1.88979	   7.16602
